"Name","HDR input (EXR, HDR, Logluv, etc.)","Merging to HDR from LDR images","HDR output (EXR, HDR, Logluv, etc.)","Tonemapping","Exposure fusion","Notes"
"Panoweaver Standard / Professional","Yes","Yes","Yes","Yes","Yes",""
"i2Align Quickage Express / Pro","No","Yes*","Yes*","No","No","*) Pro version only."
"Pixtra PanoStitcher","No","No","No","No","No",""
"Pixtra OmniStitcher","No","No","No","No","No",""
"PhotoFit Harmony / Premium","No","No","No","No","No",""
"PanoramaPlus X4","No","No","No","No","No",""
"PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro","No","No","No","No","No",""
"360 Panorama Professional","No","No","No","No","No",""
"VRstitcher Fisheye Pro","No","No","No","No","No",""
"COOL 360","No","No","No","No","No",""
"The Panorama Factory v5","No","No","No","No","No",""
"PixMaker Lite / Home / Business","No","No","No","No","No",""
"PTAssembler","No","No","No","No","Yes","Exposure fusion with TuFuse or enfuse. Automatic detection of image stacks."
"PTgui / PTgui Pro","Yes*","Yes*","Yes*","Yes*","Yes*","Exposure fusion with enfuse or TuFuse. *) Pro version only."
"Autopano Pro / Giga / Server","Yes","Yes","Yes","Yes","Yes",""
"Autostitch","No","No","No","No","No",""
"Calico Panorama","No","No","No","No","No",""
"hugin","Yes","Yes","Yes","No","Yes","Exposure fusion with enfuse, automatic detection of image stacks."
"3DVista Stitcher 3.0","No","No","No","No","No",""
"D Joiner","No","No","No","No","No",""
"Panorama Maker 6","No","No","No","No","No",""
"Photovista Panorama","No","No","No","No","No",""
"PanoramaStudio","No","No","No","No","No",""
"Stitcher Unlimited 2009","Yes","Yes","Yes","Yes","No",""
"ADG Panorama Tools / Pro","No","No","No","No","No",""
"Panorama Composer 3","No","No","No","No","No",""
"Image Composite Editor","No","No","No","No","No","Supports 16-bit camera raw input via WIC plugins"
"Panorama Perfect","No","No","No","No","No",""
"Photoshop","Yes","Yes","Yes","Yes","No",""
"AIPR Lite 1","No","No","No","Yes*","No","(*) color mapping around the seams allows to preserve the original photometric properties of the images"
"Gigapan Stitch 1.0","No","No","No","No","No",""
"PanoramaMaker","No","No","No","No","No",""
"PanoEdit","Yes","Yes","Yes","No","No","EXR and 32 bit TIF are supported for export"
"SharpStitch","Yes","No","No","No","No",""
"","","","","","",""
